Adaptive Automaton
Alloy Myr
Auriok Replica
Bladed Sentinel
Blightsteel Colossus
Blinding Souleater
Brass Squire
Cathedral Membrane
Chrome Steed
Clone Shell
Copper Myr
Core Prowler
Corpse Cur
Creepy Doll
Crumbling Colossus
Darksteel Juggernaut
Darksteel Myr
Darksteel Sentinel
Dross Ripper
Etched Champion
Etched Monstrosity
Galvanic Juggernaut
Geistcatcher's Rig
Gold Myr
Golem Artisan
Gust-Skimmer
Haunted Guardian
Hex Parasite
Hexplate Golem
Hovermyr
Ichorclaw Myr
Immolating Souleater
Insatiable Souleater
Iron Myr
Kiln Walker
Kuldotha Forgemaster
Leaden Myr
Lumengrid Gargoyle
Manor Gargoyle
Memnite
Molten-Tail Masticore
Moltensteel Dragon
Moriok Replica
Myr Battlesphere
Myr Galvanizer
Myr Propagator
Myr Sire
Myr Superion
Myr Welder
Narstad Scrapper
Necropede
Neurok Replica
One-Eyed Scarecrow
Palladium Myr
Peace Strider
Pentavus
Perilous Myr
Pestilent Souleater
Phyrexian Digester
Phyrexian Hulk
Phyrexian Juggernaut
Phyrexian Metamorph
Phyrexian Revoker
Pierce Strider
Pith Driller
Plague Myr
Platinum Emperion
Porcelain Legionnaire
Precursor Golem
Psychosis Crawler
Razorfield Rhino
Razorfield Thresher
Rust Tick
Rusted Sentinel
Rusted Slasher
Saberclaw Golem
Shimmer Myr
Signal Pest
Silver Myr
Slash Panther
Snapsail Glider
Solemn Simulacrum
Soliton
Spellskite
Spin Engine
Spined Thopter
Steel Hellkite
Sylvok Replica
Tangle Hulk
Thopter Assembly
Thran Golem
Thundering Tanadon
Training Drone
Trespassing Souleater
Vault Skirge
Vector Asp
Vulshok Replica
Wall of Tanglecord
Wurmcoil Engine
